icao,lon
AGGH,160.055
AGGM,157.263
ANYN,166.9195
AYBA,144.8218
AYBK,154.6727
AYBM,142.933
AYCH,144.971
AYDU,143.208
AYGA,145.392
AYGN,150.334
AYGR,148.309
AYHK,150.4073
AYKM,145.771
AYKV,150.808
AYMD,145.789
AYMH,144.2994
AYMN,143.657
AYMO,147.424
AYNZ,146.7265
AYPY,147.22
AYTK,152.38
AYVN,141.3028
AYWD,143.8922
AYWK,143.669
BGAA,-52.7847
BGCO,-22.6505
BGGH,-51.6791
BGJN,-51.0571
BGKK,-37.1236
BGQO,-46.065
BGQQ,-69.3887
BGSF,-50.7153
BGSS,-53.7293
BGTL,-68.7005
BIAR,-18.072
BIBD,-23.5462
BIEG,-14.4014
BIGR,-18.0173
BIHN,-15.2272
BIHU,-17.426
BIIS,-23.1353
BIKF,-22.6056
BIRK,-21.9376
BIRL,-16.9181
BISI,-18.9082
BIVM,-20.2789
BIVO,-14.8506
BKPR,21.0358
CBBC,-128.157
CYAG,-93.4435
CYAH,-73.6753
CYAM,-84.5085
CYAQ,-88.6428
CYAV,-97.0325
CYAY,-56.0832
CYAZ,-125.7756
CYBC,-68.2044
CYBD,-126.596
CYBF,-110.744
CYBG,-70.992
CYBK,-96.0778
CYBL,-125.271
CYBR,-99.9519
CYBX,-57.1853
CYCB,-105.138
CYCC,-74.5677
CYCD,-123.8699
CYCE,-81.5083
CYCG,-117.632
CYCH,-65.4492
CYCL,-66.3303
CYCN,-81.0136
CYCQ,-121.627
CYDA,-139.128
CYDB,-139.041
CYDF,-57.3961
CYDM,-132.423
CYDN,-100.052
CYDO,-72.375
CYDQ,-120.1833
CYEG,-113.58
CYEL,-82.5614
CYEM,-81.8576
CYEN,-102.966
CYET,-116.465
CYEV,-133.483
CYEY,-78.2497
CYFB,-68.5558
CYFC,-66.5299
CYFE,-69.0972
CYFJ,-74.78
CYFR,-113.69
CYFS,-121.237
CYGK,-76.5969
CYGL,-77.7042
CYGM,-97.0433
CYGP,-64.4819
CYGQ,-86.9394
CYGR,-61.7786
CYGV,-63.6114
CYGW,-77.7653
CYHD,-92.7442
CYHF,-83.6861
CYHM,-79.9294
CYHN,-84.7589
CYHT,-137.546
CYHU,-73.4169
CYHY,-115.783
CYHZ,-63.5086
CYIB,-91.6386
CYID,-65.7854
CYIF,-58.6583
CYIV,-94.6536
CYJF,-123.469
CYJN,-73.2811
CYJT,-58.5529
CYKA,-120.4486
CYKF,-80.3786
CYKJ,-105.618
CYKL,-66.8053
CYKM,-81.6067
CYKX,-79.9814
CYKY,-109.181
CYLD,-83.3467
CYLJ,-108.523
CYLL,-110.073
CYLR,-99.9853
CYLS,-79.5547
CYLT,-62.283
CYLW,-119.378
CYMA,-135.868
CYME,-67.4533
CYMG,-85.8606
CYMJ,-105.559
CYML,-70.2239
CYMM,-111.222
CYMO,-80.6078
CYMT,-74.5281
CYMX,-74.0387
CYNA,-61.789
CYND,-75.5636
CYNJ,-122.631
CYNL,-104.082
CYNM,-77.8028
CYOA,-110.615
CYOD,-110.279
CYOJ,-117.165
CYOO,-78.895
CYOP,-119.408
CYOS,-80.8375
CYOW,-75.6692
CYPA,-105.673
CYPD,-61.3681
CYPE,-117.447
CYPG,-98.2738
CYPK,-122.7093
CYPL,-90.2142
CYPN,-64.2886
CYPQ,-78.3621
CYPR,-130.445
CYPW,-124.5
CYPX,-77.2869
CYPY,-111.117
CYPZ,-125.951
CYQA,-79.3065
CYQB,-71.3933
CYQD,-101.091
CYQF,-113.894
CYQG,-82.9556
CYQH,-128.822
CYQI,-66.0881
CYQK,-94.3631
CYQL,-112.8
CYQM,-64.6772
CYQN,-86.6964
CYQQ,-124.887
CYQR,-104.6609
CYQS,-81.1108
CYQT,-89.3239
CYQU,-118.885
CYQV,-102.462
CYQW,-108.2437
CYQX,-54.5677
CYQY,-60.0498
CYQZ,-122.51
CYRB,-94.9694
CYRI,-69.5847
CYRJ,-72.2657
CYRL,-93.7931
CYRO,-75.644
CYRQ,-72.6794
CYRT,-92.1158
CYRV,-118.1843
CYSB,-80.7989
CYSC,-71.6914
CYSF,-105.841
CYSH,-75.9406
CYSJ,-65.8903
CYSL,-67.8362
CYSM,-111.962
CYSN,-79.1717
CYSP,-86.3444
CYSU,-63.8336
CYTA,-77.2517
CYTF,-71.6419
CYTH,-97.8642
CYTR,-77.5281
CYTS,-81.3767
CYTZ,-79.3955
CYUL,-73.7423
CYUX,-81.2425
CYUY,-78.8356
CYVB,-65.4603
CYVC,-105.262
CYVK,-119.331
CYVO,-77.7828
CYVP,-68.4269
